,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
134,awjilah,0,LY,1612652141,39,29.1081,21.2869,60.1,9.26
135,nuuk,20,GL,1612652141,46,64.1835,-51.7216,28.4,14.97
136,lorengau,100,PG,1612651890,83,-2.0226,147.2712,80.47,2.98
137,barrhead,75,GB,1612652141,87,55.7992,-4.3929,37.4,16.11
138,russell,90,US,1612652142,87,32.3502,-85.1999,42.8,6.91
139,nyrob,100,RU,1612652142,92,60.733,56.7202,0.03,6.67
140,majene,100,ID,1612652142,82,-3.5403,118.9707,78.48,2.51
141,namibe,21,AO,1612652008,78,-15.1961,12.1522,71.15,7.83
142,edea,40,CM,1612652142,100,3.8,10.1333,80.6,2.3
143,aksarka,97,RU,1612652142,82,66.5606,67.7975,-35.3,20.11
144,fort nelson,1,CA,1612651897,69,58.8053,-122.7002,-16.6,3.44
145,samarai,67,PG,1612651711,72,-10.6167,150.6667,84.63,6.89
146,la asuncion,100,VE,1612652072,76,11.0333,-63.8628,76.8,16.24
147,portadown,75,GB,1612652143,81,54.4241,-6.4412,39.2,17.27
148,hamilton,1,US,1612651886,30,39.1834,-84.5333,39.2,3.0
149,longyearbyen,75,SJ,1612651857,73,78.2186,15.6401,19.4,8.05
150,izyaslav,98,UA,1612652143,87,50.1195,26.8213,17.98,7.47
151,taoudenni,46,ML,1612652143,29,22.6783,-3.9836,63.18,9.37
152,turtas,100,RU,1612652143,93,58.9417,69.1325,33.69,10.96
153,sao joao da barra,100,BR,1612652124,95,-21.6403,-41.0511,72.23,13.15
154,kapaa,20,US,1612651848,49,22.0752,-159.319,73.4,6.91
155,kenai,90,US,1612651997,86,60.5544,-151.2583,18.0,9.22
156,springdale,90,US,1612652006,100,36.1867,-94.1288,39.99,2.57
157,torbay,90,CA,1612651879,100,47.6666,-52.7314,41.0,21.85
158,cap-aux-meules,42,CA,1612651862,80,47.3821,-61.8597,32.0,28.77
159,beira,40,MZ,1612652144,94,-19.8436,34.8389,82.4,2.3
160,anito,84,PH,1612652144,89,12.4497,125.2886,78.44,11.3
161,harper,6,LR,1612651880,88,4.375,-7.7169,79.47,7.9
162,magadan,99,RU,1612651881,87,59.5667,150.8,8.89,11.05
163,olinda,20,BR,1612651873,69,-8.0089,-34.8553,80.6,5.75
164,elko,1,US,1612652144,24,41.0002,-115.5012,51.8,14.97
165,camargo,0,MX,1612652145,20,27.6667,-105.1667,69.93,12.71
166,farah,73,AF,1612652003,46,32.5,62.5,46.49,1.23
167,nikolskoye,20,RU,1612651858,78,59.7035,30.7861,8.6,11.18
168,asfi,55,MA,1612651663,70,32.2994,-9.2372,56.48,8.55
169,mbanza-ngungu,90,CD,1612652145,96,-5.25,14.8667,69.55,2.66
170,chapais,90,CA,1612652134,85,49.7834,-74.8492,14.0,6.91
171,makasar,20,ID,1612652146,100,-5.14,119.4221,71.6,2.3
172,san patricio,1,US,1612651998,41,28.017,-97.5169,75.2,9.22
173,eureka,0,US,1612651671,73,40.8021,-124.1637,57.0,8.99
174,cidreira,24,BR,1612651595,74,-30.1811,-50.2056,70.66,4.5
175,nizwa,0,OM,1612652147,66,22.9333,57.5333,51.3,2.19
176,chicama,90,PE,1612652147,88,-7.8447,-79.1469,69.8,9.22
177,vao,0,NC,1612651899,83,-22.6667,167.4833,77.4,4.47
178,baker city,64,US,1612652147,64,44.7749,-117.8344,39.0,7.76
179,mount airy,1,US,1612651991,27,36.4993,-80.6073,50.0,6.91
180,porec,90,HR,1612652147,100,45.2258,13.5939,53.01,1.14
181,tazovskiy,70,RU,1612652147,86,67.4667,78.7,-25.62,10.36
182,castro,0,BR,1612651703,76,-24.7911,-50.0119,62.92,8.99
183,norman wells,75,CA,1612652011,75,65.282,-126.8329,-29.2,4.61
184,lompoc,1,US,1612651897,42,34.6391,-120.4579,68.0,13.8
185,roald,90,NO,1612651849,68,62.5833,6.1333,24.8,6.91
186,salalah,75,OM,1612651851,73,17.0151,54.0924,73.4,8.05
187,kununurra,100,AU,1612651613,94,-15.7667,128.7333,80.6,5.75
188,ketchikan,75,US,1612651675,93,55.3422,-131.6461,39.2,8.05
189,takaka,87,NZ,1612652148,71,-40.85,172.8,68.0,5.01
190,oranjemund,31,NA,1612652109,90,-28.55,16.4333,65.57,13.42
191,kruisfontein,18,ZA,1612652009,82,-34.0033,24.7314,66.99,1.99
192,athabasca,99,CA,1612652119,64,54.7169,-113.2854,-13.0,2.3
193,mwanza,75,TZ,1612652148,83,-2.5167,32.9,69.8,6.4
194,coquimbo,0,CL,1612651867,68,-29.9533,-71.3436,64.4,13.8
195,grindavik,0,IS,1612651685,69,63.8424,-22.4338,33.8,18.41
196,seoul,90,KR,1612651735,100,37.5683,126.9778,35.6,6.91
197,vanavara,100,RU,1612652149,95,60.34,102.2797,9.34,9.95
198,zhuhai,0,CN,1612652149,94,22.2769,113.5678,66.0,3.44
199,rimouski,81,CA,1612651866,68,48.4488,-68.524,26.6,28.77
200,bethel,1,US,1612651895,28,41.3712,-73.414,42.8,11.5
201,qandala,18,SO,1612652149,78,11.472,49.8728,74.35,2.77
202,carballo,84,ES,1612651901,93,43.213,-8.691,39.99,1.7
203,riviera beach,75,US,1612652149,94,26.7753,-80.0581,75.2,13.8
204,santiago del estero,0,AR,1612651988,40,-27.7951,-64.2615,81.82,5.44
205,jagdalpur,73,IN,1612652084,43,19.0667,82.0333,54.01,3.09
206,miraflores,1,MX,1612652150,18,19.2167,-98.8083,78.8,17.27
207,north bend,75,US,1612652150,76,43.4065,-124.2243,50.0,4.61
208,yarkovo,100,RU,1612652150,99,57.4028,67.0786,31.5,11.14
209,margate,100,GB,1612651878,87,51.3813,1.3862,39.0,7.0
210,touros,40,BR,1612651697,78,-5.1989,-35.4608,78.8,4.61
211,saint-louis,0,SN,1612651852,49,16.3333,-15.0,71.6,2.3
212,comodoro rivadavia,75,AR,1612651904,76,-45.8667,-67.5,55.4,17.27
213,hasaki,0,JP,1612651888,70,35.7333,140.8333,39.2,3.44
214,nova cruz,40,BR,1612652151,78,-6.4781,-35.4339,80.6,5.75
215,ituiutaba,9,BR,1612652151,71,-18.9689,-49.465,74.08,6.33
216,selaphum,14,TH,1612652151,82,16.0299,103.9383,62.6,3.44
217,georgetown,20,MY,1612651988,83,5.4112,100.3354,78.8,7.05
218,bambous virieux,40,MU,1612651794,78,-20.3428,57.7575,78.8,4.61
219,tasiilaq,75,GL,1612651865,55,65.6145,-37.6368,35.6,29.93
220,huarmey,76,PE,1612652030,72,-10.0681,-78.1522,72.75,10.65
221,constantine,75,DZ,1612652001,41,36.365,6.6147,60.8,28.77
222,koulamoutou,42,GA,1612652152,92,-1.1303,12.4736,72.9,2.35
223,isangel,20,VU,1612651714,74,-19.55,169.2667,84.2,5.75
224,broken hill,35,AU,1612652152,72,-31.95,141.4333,62.6,18.41
225,motril,13,ES,1612652152,74,36.7507,-3.5179,53.01,5.01
226,svetlyy,0,RU,1612652152,85,54.675,20.1347,1.4,2.24
227,vagur,100,FO,1612651698,77,61.4732,-6.8119,37.22,23.0
228,zhangjiakou,0,CN,1612652152,82,40.81,114.8794,16.68,6.53
229,fairbanks,90,US,1612651802,77,64.8378,-147.7164,-5.01,0.27
230,luderitz,0,NA,1612651809,57,-26.6481,15.1594,70.3,21.43
231,clarence town,3,AU,1612652152,73,-32.5833,151.7833,78.01,11.5
232,nanortalik,17,GL,1612651864,82,60.1432,-45.2371,22.44,8.43
233,namwala,79,ZM,1612652153,97,-15.7504,26.4384,66.4,2.48
234,iskateley,95,RU,1612651857,85,67.6803,53.1512,-27.31,11.83
